,Insult,Vulgarity
0,10-4,22
1,304,63
2,404,25
3,40-watt club,13
4,5150,27
5,5ux0r,51
6,74,100
7,abbreviated piece of nothing,36
8,accident,43
9,acid freak,46
10,acid head,31
11,a face that only a mother could love,43
12,a few cans short of a six pack,34
13,ahole,54
14,airhead,38
15,almy,54
16,Amazon,44
17,anal retentive,52
18,ankle biter,24
19,anorak,27
20,antwacky,17
21,arse,49
22,arsehole,71
23,arsewipe,59
24,as much use as a chocolate fireguard,33
25,as much use as a chocolate teapot,22
26,as much use as a handbrake on a canoe,24
27,a snore,34
28,ass,57
29,asscan,47
30,ass-can,61
31,assclown,53
32,ass clown,39
33,ass-end of space,49
34,ass face,52
35,ass fuck,75
36,assful,44
37,asshole,66
38,assholery,82
39,ass-kisser,49
40,ass monkey,45
41,ass munch,56
42,ass up,60
43,ass-wipe,50
44,ate up,33
45,ate up with the dumb ass,53
46,attention whore,44
47,b,50
48,b4k4,21
49,baby,25
50,back 40,8
51,bad-ass,42
52,bad guy,46
53,bad news,27
54,bad seed,16
55,badussy,66
56,bag,38
57,bag bitch,68
58,bagger,54
59,bag of shit,59
60,bait,36
61,bait out,12
62,bamma,24
63,bananas,32
64,bang,65
65,banged up,52
66,bang hole,69
67,barf,37
68,Barney,23
69,basket case,30
70,bastard,56
71,bat fastard,53
72,bat-shit crazy,23
73,batty,27
74,beast,36
75,beastly,36
76,beat,40
77,beater,43
78,beat-up,23
79,beat with the ugly stick,38
80,Becky,43
81,beep face,30
82,beeyatch,47
83,beyotch,51
84,BFD,51
85,BFE,51
86,B.G.,48
87,bia,50
88,biatch,47
89,bible thumper,29
90,biddy,29
91,big deal,34
92,big whoop,25
93,billy,34
94,bimbo,40
95,bint,44
96,biotch,45
97,bird,32
98,bird-brain,36
99,bisnitch,42
100,bisnotch,74
101,bitch,66
102,bitch ass,65
103,bite,30
104,bite it,39
105,bite me,36
106,bite (one's) ass,56
107,bite the pillow,57
108,bizatch,54
109,biznatch,36
110,biznitch,43
111,bizo,63
112,bizzo,43
113,blabbermouth,19
114,blah,27
115,blank-stick,69
116,blech,23
117,blivet,0
118,blivit,55
119,bloatware,7
120,blonde,31
121,blood,44
122,blow,60
123,blow chunks,38
